Filename	Artist	Album	Year	Trackno	Title
c:\music\Bandprosjekt\_EXPORTS\Easy Peaceful.ogg			0	0	Easy Peaceful - Øving
c:\music\Bandprosjekt\_EXPORTS\Fortunate Son - Øving.ogg			0	0	Fortunate Son - Øving
c:\music\Bandprosjekt\_EXPORTS\Hey Jude - Øving.ogg			0	0	Hey Jude - Øving
c:\music\Bandprosjekt\_EXPORTS\Let Me...Øving 2.ogg			0	0	Let Me...Øving 2
c:\music\Bandprosjekt\_EXPORTS\Let Me...Øving.ogg			0	0	Let Me...Øving
c:\music\Bandprosjekt\_EXPORTS\Lost - Øving.ogg			0	0	Lost - Øving
c:\music\Bandprosjekt\_EXPORTS\Lost Highway.ogg			0	0	Lost Highway - Øving
c:\music\Bandprosjekt\_EXPORTS\Tougher than the rest - Øving 2.ogg			0	0	Tougher than the rest
c:\music\Bandprosjekt\_EXPORTS\Tougher than the rest - Øving 3.ogg			0	0	Tougher than the rest - Øving 3
c:\music\Bandprosjekt\_EXPORTS\Tougher than the rest - Øving.ogg			0	0	Tougher than the rest - Øving
c:\music\Bandprosjekt\_EXPORTS\You Shook - Øving.ogg			0	0	You Shook - Øving
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t01.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	1	intro >
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t02.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	2	Dirty Juice
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t03.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	3	Spanish Highway
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t04.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	4	Crazy Mary
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t05.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	5	Rocksteady
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t06.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	6	Black Beehive
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t07.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	7	Vincent Of Jersey
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t08.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	8	Leaving Song
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t09.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	9	Midnight Radio
c:\music\bhtm2013-06-08.AXS.TV\bhtm2013-06-08t10.flac	Big Head Todd & the Monsters	2013-06-08 Red Rocks Amphitheatre, Morrison, CO [TV] cm	2013	10	Broken Hearted Savior
